OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
USA 202,2009-001A,33490,PAY,+,US,2009-01-18,AFETR,,1436.03,8.8,35828,35743,,NEA,EA,ORB
EXPRESS-AM44,2009-007A,33595,PAY,+,CIS,2009-02-11,TYMSC,,1436.1,3.66,35802,35771,54.0998,,EA,ORB
NSS-9,2009-008A,33749,PAY,+,SES,2009-02-12,FRGUI,,1436.11,1.46,35796,35777,50.1187,,EA,ORB
TELSTAR 11N,2009-009A,34111,PAY,+,CA,2009-02-26,TYMSC,,1436.12,0.06,35797,35777,17.6011,,EA,ORB
WGS F2 (USA 204),2009-017A,34713,PAY,+,US,2009-04-04,AFETR,,1436.07,0.02,35788,35784,5.0119,,EA,ORB
SICRAL 1B,2009-020A,34810,PAY,+,IT,2009-04-20,SEAL,,1436.0,0.1,35808,35762,14.9314,NEA,EA,ORB
SES-7 (PROTOSTAR 2),2009-027A,34941,PAY,+,SES,2009-05-16,TYMSC,,1436.11,0.04,35789,35784,10.0,,EA,ORB
MEASAT-3A,2009-032A,35362,PAY,+,MALA,2009-06-21,TYMSC,,1436.1,0.03,35795,35778,31.6228,,EA,ORB
EWS-G3 (GOES 14),2009-033A,35491,PAY,B,US,2009-06-27,AFETR,,1438.94,1.88,35851,35833,17.6453,,EA,ORB
FM-5,2009-034A,35493,PAY,+,US,2009-06-30,TYMSC,,1436.09,0.05,35788,35784,10.0,,EA,ORB
TERRESTAR-1,2009-035A,35496,PAY,+,US,2009-07-01,FRGUI,,1436.07,5.21,35797,35776,17.2973,,EA,ORB
ASIASAT 5,2009-042A,35696,PAY,+,AC,2009-08-11,TYMSC,,1436.09,0.04,35793,35780,15.8489,,EA,ORB
JCSAT-12 (JCSAT-RA),2009-044A,35755,PAY,+,JPN,2009-08-21,FRGUI,,1436.13,0.05,35794,35780,50.1187,,EA,ORB
OPTUS D3,2009-044B,35756,PAY,+,AUS,2009-08-21,FRGUI,,1436.11,0.85,35804,35769,6.3096,,EA,ORB
USA 207,2009-047A,35815,PAY,+,US,2009-09-08,AFETR,,1436.1,0.1,35819,35753,,NEA,EA,ORB
NIMIQ 5,2009-050A,35873,PAY,+,CA,2009-09-17,TYMSC,,1436.11,0.06,35798,35775,94.7185,,EA,ORB
AMAZONAS 2,2009-054A,35942,PAY,+,SPN,2009-10-01,FRGUI,,1436.1,2.01,35801,35773,11.0159,,EA,ORB
COMSATBW-1,2009-054B,35943,PAY,+,GER,2009-10-01,FRGUI,,1436.09,0.04,35799,35774,7.9433,,EA,ORB
NSS-12,2009-058A,36032,PAY,+,SES,2009-10-29,FRGUI,,1436.07,0.04,35800,35772,7.9433,,EA,ORB
THOR 6,2009-058B,36033,PAY,+,NOR,2009-10-29,FRGUI,,1436.09,0.03,35798,35775,7.0794,,EA,ORB
